index ,model,review,rating
59,PREET 6049,too good built and other specs,1
60,PREET 6049,nice and bold looking tractor works well,1
61,PREET 6049,so far good working ,1
62,PREET 6049,poor built and fuel capacity is very low,0
63,PREET 6049,quiet good for a small farms,1
64,PREET 6049,need to take care of maintainence too much money spent,0
65,PREET 6049,good for high working efficiency,1
66,PREET 6049,great machine for large farm work,1
67,PREET 6049,not a good tractor need to maintain and look after,0
68,PREET 6049,tractor is not so good needs large amount of fuel,0
69,PREET 6049,pretty genuine machinery and reliable overall very good,1
70,PREET 6049,not a good tractor poor at speed processing,0
71,PREET 6049,efficiently working for small fields,1
72,PREET 6049,very efficient machinery at good rate,1
73,PREET 6049,can improve a lot not so good working with,0
74,PREET 6049,quiet good material and performance,1
75,PREET 6049,nice built and good for small farms,1
76,PREET 6049,very efficient machinery at good rate,1
77,PREET 6049,nice model and looks unique,1
78,PREET 6049,poor working experience,0
79,PREET 6049,efficiently working for small fields,1
80,PREET 6049,great price with awesome specs,1
81,PREET 6049,not a good tractor cost for fuel is very much ,0
82,PREET 6049,bad at performance,0
83,PREET 6049,the worst tractor ever seen,0
84,PREET 6049,not so good tractor ,0
85,PREET 6049,needs to be taken care ver bad at efficiency,0
86,PREET 6049,good design and looks tough,1
87,PREET 6049,great works at high rate,1
88,PREET 6049,worst tractor ,0
89,PREET 6049,good tractor with great specs,1
90,PREET 6049,need to improve the fuel consumptions very costly,0
91,PREET 6049,great machinery at proper rate,1
92,PREET 6049,very nice working machine,1
93,PREET 6049,machine is very poor at working in quick equipments,0
94,PREET 6049,great design and model is very reliable,1
95,PREET 6049,not a good choice for small scale farmers,0
96,PREET 6049,wow�it has large engine capacity,1
97,PREET 6049,very poor power management,0
98,PREET 6049,too good built and other specs,1
99,PREET 6049,nice and bold looking tractor works well,1
100,PREET 6049,great machine for large farm work,1
101,New holland 3630 - TX Plus,fuel capacity is not satisfactory,0
102,New holland 3630 - TX Plus,quiet good for a small farms,1
103,New holland 3630 - TX Plus,pretty genuine machinery and reliable overall very good,1
104,New holland 3630 - TX Plus,three cylinders work great,1
105,New holland 3630 - TX Plus,same power and fuel capacity good,1
106,New holland 3630 - TX Plus,not so efficient,0
107,New holland 3630 - TX Plus,need to improve the quality and performance,0
108,New holland 3630 - TX Plus,very bad experience so far,0
109,New holland 3630 - TX Plus,good going very smooth,1
110,New holland 3630 - TX Plus,quiet unique than other,1
111,New holland 3630 - TX Plus,nice use of latest technology,1
112,New holland 3630 - TX Plus,not so good for business purpose,0
113,New holland 3630 - TX Plus,great at working with,1
114,New holland 3630 - TX Plus,very efficient machinery at good rate,1
115,New holland 3630 - TX Plus,not so good machine,0
116,New holland 3630 - TX Plus,very poor rate of processing,0
117,New holland 3630 - TX Plus,need to improve the quality of product is very poor,0
118,New holland 3630 - TX Plus,machine is very good at work,1
119,New holland 3630 - TX Plus,quiet great with nice new built,1
120,New holland 3630 - TX Plus,the tractor works well for medium size farms,1
121,New holland 3630 - TX Plus,not good at all,0
122,New holland 3630 - TX Plus,very efficient and noise is very low,1
123,New holland 3630 - TX Plus,This is a very good tractor liked the design,1
124,New holland 3630 - TX Plus,It has good efficiency. ,1
125,New holland 3630 - TX Plus,very bad experience so far,0
126,New holland 3630 - TX Plus,price is very high ,0
127,New holland 3630 - TX Plus,great going superb built,1
128,New holland 3630 - TX Plus,need to improve the fuel capacity,0
129,New holland 3630 - TX Plus,not so good for large farms,0
130,New holland 3630 - TX Plus,pretty genuine machinery and reliable overall very good,1
131,New holland 3630 - TX Plus,great works at high rate,1
132,New holland 3630 - TX Plus,need to make a lot of changes very poor machine,0
133,New holland 3630 - TX Plus,the tank capcity is not so good,0
134,New holland 3630 - TX Plus,very good efficiency,1
135,New holland 3630 - TX Plus,the tractor works well for medium size farms,1
136,New holland 3630 - TX Plus,not so good for business purpose,0
137,New holland 3630 - TX Plus,tractor is not so good needs large amount of fuel,0
138,New holland 3630 - TX Plus,great price with awesome specs,1
139,New holland 3630 - TX Plus,very poor efficiency,0
140,New holland 3630 - TX Plus,engine power is good for any work,1
141,New holland 3630 - TX Plus,the fuel capacity is much high than others keep it up,1
142,New holland 3630 - TX Plus,great machinery at proper rate,1
143,New holland 3630 - TX Plus,very nice working machine,1
144,New holland 3630 - TX Plus,too much pollution not good for health,0
145,New holland 3630 - TX Plus,very poor power management,0
146,New holland 3630 - TX Plus,too good built and other specs,1
147,New holland 3630 - TX Plus,nice and bold looking tractor works well,1
148,New holland 3630 - TX Plus,so far good working ,1
149,New holland 3630 - TX Plus,great design and manufacture quality,1
150,New holland 3630 - TX Plus,need to improve the engine power,0
151,SWARAJ 855 FE,new model with great power,1
152,SWARAJ 855 FE,the three cylinder works well,1
153,SWARAJ 855 FE,good for business purpose,1
154,SWARAJ 855 FE,not so good at working in large farms,0
155,SWARAJ 855 FE,great at working with,1
156,SWARAJ 855 FE,need to improve the power at the capcity of fuel,0
157,SWARAJ 855 FE,not so good design ,0
158,SWARAJ 855 FE,well equipped and great technology,1
159,SWARAJ 855 FE,very good efficiency,1
160,SWARAJ 855 FE,works at a high rate,1
161,SWARAJ 855 FE,good for working in medium farm lands,1
162,SWARAJ 855 FE,very handy and easy to use machinery,1
163,SWARAJ 855 FE,the price is great,1
164,SWARAJ 855 FE,very poor rate of processing,0
165,SWARAJ 855 FE,This is a very good tractor liked the design,1
166,SWARAJ 855 FE,It has good efficiency. ,1
167,SWARAJ 855 FE,not so good working machine needs to improve,0
168,SWARAJ 855 FE,great machinery at proper rate,1
169,SWARAJ 855 FE,fuel capacity is not satisfactory,0
170,SWARAJ 855 FE,quiet good for a small farms,1
171,SWARAJ 855 FE,pretty genuine machinery and reliable overall very good,1
172,SWARAJ 855 FE,cheap and very great working,1
173,SWARAJ 855 FE,well working with great efficiency,1
174,SWARAJ 855 FE,yeah� very fine machine,1
175,SWARAJ 855 FE,works at a high rate,1
176,SWARAJ 855 FE,not so good for business purpose,0
177,SWARAJ 855 FE,high rates of fuel are incurred,0
178,SWARAJ 855 FE,need to improve the design and built,0
179,SWARAJ 855 FE,not good at all,0
180,SWARAJ 855 FE,great machine for medium farm works,1
181,SWARAJ 855 FE,great working rate,1
182,SWARAJ 855 FE,works well for small scale farmers,1
183,SWARAJ 855 FE,good at efficency,1
184,SWARAJ 855 FE,not so wel designed and organized,0
185,SWARAJ 855 FE,poor rate of work with implements,0
186,SWARAJ 855 FE,very great work ,1
187,SWARAJ 855 FE,efficiently working for small fields,1
188,SWARAJ 855 FE,great price with awesome specs,1
189,SWARAJ 855 FE,not a good tractor cost for fuel is very much ,0
190,SWARAJ 855 FE,bad at performance,0
191,SWARAJ 855 FE,the worst tractor ever seen,0
192,SWARAJ 855 FE,get to deal with good machine at proper price,1
193,SWARAJ 855 FE,not so good at working in large farms,0
194,SWARAJ 855 FE,the working requires lot of power and capital,0
195,SWARAJ 855 FE,quiet good at efficiency,1
196,SWARAJ 855 FE,the company needs to shut down,0
197,SWARAJ 855 FE,It has good efficiency. ,1
198,SWARAJ 855 FE,very bad experience so far,0
199,SWARAJ 855 FE,price is very high ,0
200,SWARAJ 855 FE,great going superb built,1
201,John Deere 5310,good fuel capacity,1
202,John Deere 5310,very awesome look,1
203,John Deere 5310,fuel capacity is very good,1
204,John Deere 5310,power is not so good,0
205,John Deere 5310,very bad experience so far,0
206,John Deere 5310,price is very high ,0
207,John Deere 5310,fuel capacity is not satisfactory,0
208,John Deere 5310,quiet good for a small farms,1
209,John Deere 5310,pretty genuine machinery and reliable overall very good,1
210,John Deere 5310,cheap and very great working,1
211,John Deere 5310,well working with great efficiency,1
212,John Deere 5310,yeah� very fine machine,1
213,John Deere 5310,machine is proper for working,1
214,John Deere 5310,needs to increase the engine power,0
215,John Deere 5310,not so good at high processing,0
216,John Deere 5310,great for medium sized farms,1
217,John Deere 5310,not good at all,0
218,John Deere 5310,the company need to make more models like this,1
219,John Deere 5310,very good efficiency,0
220,John Deere 5310,the model looks great,1
221,John Deere 5310,not good for small farms,0
222,John Deere 5310,it is a bit expensive,0
223,John Deere 5310,It has good efficiency. ,1
224,John Deere 5310,very bad experience so far,0
225,John Deere 5310,price is very high ,0
226,John Deere 5310,great going superb built,1
227,John Deere 5310,wooh..the machine looks great,1
228,John Deere 5310,its works well for most of the farm work,1
229,John Deere 5310,capable budget-friendly tractor niche.,1
230,John Deere 5310,quiet expensive,0
231,John Deere 5310,"high-efficiency, high-performance ",1
232,John Deere 5310,good at almost everything,1
233,John Deere 5310,not at all good for poor farmers,0
234,John Deere 5310,requires a lot of maintainance,0
235,John Deere 5310,good at working,1
236,John Deere 5310,very awesome look,1
237,John Deere 5310,needs to improve the output power,0
238,John Deere 5310,very suited for medium sized farms,1
239,John Deere 5310,great machinery at proper rate,1
240,John Deere 5310,very nice working machine,1
241,John Deere 5310,good for healthy environment,1
242,John Deere 5310,the three cylinder works well,1
243,John Deere 5310,good for business purpose,1
244,John Deere 5310,not so good at working in large farms,0
245,John Deere 5310,great at working with,1
246,John Deere 5310,need to improve the power at the capcity of fuel,0
247,John Deere 5310,not so good design ,0
248,John Deere 5310,well equipped and great technology,1
249,John Deere 5310,very good efficiency,1
250,John Deere 5310,works at a high rate,1
251,Powertrac Euro 50,works well with three cylinders,1
252,Powertrac Euro 50,great engine capacity,1
253,Powertrac Euro 50,lives upto the performance,1
254,Powertrac Euro 50,very efficient and noise is very low,1
255,Powertrac Euro 50,This is a very good tractor liked the design,1
256,Powertrac Euro 50,It has good efficiency. ,1
257,Powertrac Euro 50,very bad experience so far,0
258,Powertrac Euro 50,price is very high ,0
259,Powertrac Euro 50,great going superb built,1
260,Powertrac Euro 50,poor transmission,0
261,Powertrac Euro 50,model looks bit rusty,0
262,Powertrac Euro 50,need to improve the quality of built,0
263,Powertrac Euro 50,great fuel capacity,1
264,Powertrac Euro 50,it is not good for all the farm activities,0
265,Powertrac Euro 50,very poor transmission,0
266,Powertrac Euro 50,engine capacity is good,1
267,Powertrac Euro 50,nice look,1
268,Powertrac Euro 50,the power is not so satisfactory,0
269,Powertrac Euro 50,built quality can be improved,0
270,Powertrac Euro 50,good for most of the type of farms,1
271,Powertrac Euro 50,poor rate of work with implements,0
272,Powertrac Euro 50,not good for business,0
273,Powertrac Euro 50,it works well with plough,1
274,Powertrac Euro 50,very bad experience so far,0
275,Powertrac Euro 50,price is very high ,0
276,Powertrac Euro 50,good at built quality,1
277,Powertrac Euro 50,not so good at the fuel transmission,0
278,Powertrac Euro 50,cost is a bit high,0
279,Powertrac Euro 50,power is not so good,0
280,Powertrac Euro 50,very bad experience so far,0
281,Powertrac Euro 50,price is very high ,0
282,Powertrac Euro 50,fuel capacity is not satisfactory,0
283,Powertrac Euro 50,quiet good for a small farms,1
284,Powertrac Euro 50,great machine for dealing with different farm areas,1
285,Powertrac Euro 50,good and awesome looking tractor,1
286,Powertrac Euro 50,the fuel capacity is much high than others keep it up,1
287,Powertrac Euro 50,need to improve the engine power,0
288,Powertrac Euro 50,very good rate of processing,1
289,Powertrac Euro 50,not so good for large farms,0
290,Powertrac Euro 50,works good in low fuel as well,1
291,Powertrac Euro 50,great going superb built,1
292,Powertrac Euro 50,wooh..the machine looks great,1
293,Powertrac Euro 50,its works well for most of the farm work,1
294,Powertrac Euro 50,capable budget-friendly tractor niche.,1
295,Powertrac Euro 50,machine looks brillant,1
296,Powertrac Euro 50,needs to improve the output power,0
297,Powertrac Euro 50,the tractor is not at all worthy of the prize,0
298,Powertrac Euro 50,need to improve the fuel consumptions very costly,0
299,Powertrac Euro 50,great machinery at proper rate,1
300,Powertrac Euro 50,very nice working machine,1
301,,,
